index,lifehist,ModeReproduction,Symbionts,family_molecules,genus,spp_phylo,species_name,Location_name,ABSLatitude,volume,lg.eggsize,sstmean,sstvarall,chlamean
69,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_humilis,Acropora humilis,ScottReef-W-Australia,14.001409,143711300.9,18.78331699,28.78224,2.197272582,0.2765393
70,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_humilis,Acropora humilis,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,68237404.8,18.03850343,26.69642,3.871768518,0.3044986
71,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_hyacinthus,Acropora hyacinthus,Eilat_Israel,29.509704,27611654.06,17.13374849,24.18318,5.098983997,0.1745565
72,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_hyacinthus,Acropora hyacinthus,Heron-Island,23.43735,116321379.4,18.57186743,24.39077,4.426336301,0.4277969
73,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_hyacinthus,Acropora hyacinthus,Lizard-Island,14.686824,93659468.79,18.35517609,26.4547,3.842254668,0.2906735
74,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_hyacinthus,Acropora hyacinthus,Orpheus,18.636954,88547033.43,18.29904442,26.11052,6.357074713,0.8734128
75,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_hyacinthus,Acropora hyacinthus,ScottReef-W-Australia,14.001409,141338242.7,18.76666646,28.78224,2.197272582,0.2765393
76,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_hyacinthus,Acropora hyacinthus,Solitary-Islands_Australia,29.924725,110135111.9,18.51721846,22.32569,4.45862651,0.7583831
77,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_hyacinthus,Acropora hyacinthus,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,59365579.1,17.89922514,26.69642,3.871768518,0.3044986
78,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_intermedia,Acropora intermedia,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,38792386.07,17.47373455,26.69642,3.871768518,0.3044986
79,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_lutkeni,Acropora lutkeni,MombasaMNP-Kenya,4.026741,62358251.94,17.94840657,27.07738,1.469125806,0.2810418
80,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_lutkeni,Acropora lutkeni,Solitary-Islands_Australia,29.924725,129248194.2,18.6772451,22.32569,4.45862651,0.7583831
81,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_microclados,Acropora microclados,ScottReef-W-Australia,14.001409,155656118,18.86315976,28.78224,2.197272582,0.2765393
82,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_millepora,Acropora millepora,Geoffrey-Bay_Magnetic-Island,19.156016,99242912.06,18.41308106,25.73539,9.067469978,3.2740746
83,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_millepora,Acropora millepora,Heron-Island,23.43735,62157481.08,17.94518174,24.39077,4.426336301,0.4277969
84,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_millepora,Acropora millepora,Ningaloo-Reef-Australia,23.17,110850435.2,18.52369242,24.54691,3.538341578,0.4856855
85,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_millepora,Acropora millepora,Orpheus,18.636954,82906850.3,18.23322825,26.11052,6.357074713,0.8734128
86,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_monticulosa,Acropora monticulosa,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,48351942.75,17.69401696,26.69642,3.871768518,0.3044986
87,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_muricata,Acropora muricata,ScottReef-W-Australia,14.001409,113097335.3,18.54375938,28.78224,2.197272582,0.2765393
88,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_muricata,Acropora muricata,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,30821049.81,17.24370845,26.69642,3.871768518,0.3044986
89,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_nana,Acropora nana,Lizard-Island,14.686824,59908908.21,17.90833577,26.4547,3.842254668,0.2906735
90,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_nana,Acropora nana,MombasaMNP-Kenya,4.026741,62739258.37,17.95449794,27.07738,1.469125806,0.2810418
91,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_nana,Acropora nana,Tiao-Shi-Nanwan-Kenting_Taiwan,21.957822,95949701.56,18.37933467,26.69642,3.871768518,0.3044986
92,HHT,Hermaphrodite,No,Acroporidae,Acropora,ACR_Acropora_nasuta,Acropora nasuta,MombasaMNP-Kenya,4.026741,74903772.17,18.13171481,27.07738,1.469125806,0.2810418
